{{2, 1}, {2, 4}, {4, 9}, {2, 6}, {6, 5}, {5, 10}, {10, 3}, {3, 8}, {10, 11}, {10, 12}, {2, 7}}
{{2, 1}, {2, 4}, {2, 6}, {6, 5}, {5, 10}, {10, 3}, {3, 8}, {10, 12}, {12, 11}, {2, 7}, {7, 9}}
{{2, 1}, {2, 4}, {4, 9}, {9, 11}, {11, 10}, {10, 3}, {11, 12}, {12, 8}, {2, 6}, {6, 5}, {2, 7}}
{{2, 1}, {2, 4}, {2, 6}, {6, 5}, {2, 7}, {7, 9}, {9, 12}, {12, 8}, {12, 10}, {10, 3}, {12, 11}}
{{2, 1}, {2, 4}, {4, 11}, {11, 9}, {11, 10}, {10, 5}, {5, 3}, {3, 8}, {8, 7}, {10, 12}, {2, 6}}
{{2, 1}, {2, 4}, {4, 11}, {11, 9}, {9, 12}, {12, 10}, {10, 3}, {3, 5}, {10, 8}, {8, 7}, {2, 6}}
{{2, 1}, {2, 4}, {4, 9}, {4, 11}, {11, 10}, {10, 5}, {5, 3}, {10, 8}, {8, 12}, {12, 7}, {2, 6}}
{{2, 1}, {2, 4}, {4, 9}, {9, 7}, {9, 11}, {2, 6}, {6, 3}, {3, 10}, {10, 8}, {8, 12}, {6, 5}}
{{2, 1}, {2, 4}, {4, 9}, {9, 7}, {9, 11}, {11, 12}, {12, 8}, {2, 6}, {6, 3}, {3, 10}, {6, 5}}
{{2, 1}, {2, 4}, {4, 9}, {9, 7}, {2, 6}, {6, 3}, {3, 10}, {10, 5}, {10, 8}, {8, 12}, {12, 11}}
{{2, 1}, {2, 4}, {2, 6}, {6, 3}, {3, 10}, {10, 12}, {12, 8}, {12, 9}, {9, 7}, {9, 11}, {6, 5}}
{{2, 1}, {2, 4}, {2, 6}, {6, 3}, {3, 10}, {10, 5}, {5, 11}, {11, 9}, {9, 7}, {10, 12}, {12, 8}}
{{2, 1}, {2, 4}, {4, 9}, {2, 6}, {6, 3}, {6, 5}, {5, 10}, {10, 11}, {10, 12}, {12, 7}, {7, 8}}
{{2, 1}, {2, 4}, {4, 9}, {9, 11}, {11, 10}, {11, 12}, {12, 7}, {12, 8}, {2, 6}, {6, 3}, {6, 5}}
{{2, 1}, {2, 4}, {4, 9}, {9, 7}, {7, 8}, {8, 12}, {12, 10}, {10, 5}, {12, 11}, {2, 6}, {6, 3}}
{{2, 1}, {2, 4}, {4, 9}, {4, 11}, {2, 6}, {6, 5}, {5, 10}, {10, 3}, {3, 8}, {8, 7}, {10, 12}}
